season_year,target_season,player_id,player_name,prior_model,poss_season,w_poss,prior_o,prior_d,m500_o,m500_d,m500,m2000_o,m2000_d,m2000,m4000_o,m4000_d,m4000,m8000_o,m8000_d,m8000,next_year,metric_o,metric_d,metric
1996,1996-97,51,Mahmoud Abdul-Rauf,atomic_denominator,5000.7,4234.8,0.792,-1.64,1.483,-1.749,-0.266,0.589,-1.379,-0.79,0.54,-1.362,-0.821,0.599,-1.41,-0.81,1997,0.54,-1.362,-0.821
1996,1996-97,52,Micheal Williams,atomic_denominator,143.7,135.9,0.0,-0.0,0.796,1.486,2.282,0.195,0.495,0.69,0.085,0.252,0.337,0.033,0.104,0.137,1997,0.085,0.252,0.337
1996,1996-97,53,Mario Elie,atomic_denominator,6938.0,6772.0,1.625,0.179,3.339,0.725,4.064,2.227,0.653,2.879,1.839,0.489,2.328,1.595,0.356,1.95,1997,1.839,0.489,2.328
1996,1996-97,54,Dickey Simpkins,atomic_denominator,1130.3,997.3,-2.856,-0.161,-6.189,-0.296,-6.485,-4.104,-0.609,-4.714,-3.504,-0.583,-4.087,-3.172,-0.49,-3.662,1997,-3.504,-0.583,-4.087
1996,1996-97,55,Marty Conlon,atomic_denominator,4131.9,3622.8,-0.286,0.279,-0.78,-0.937,-1.717,-0.117,-0.947,-1.065,0.047,-0.885,-0.838,0.067,-0.716,-0.649,1997,0.047,-0.885,-0.838
1996,1996-97,56,Gary Payton,atomic_denominator,8957.6,8493.5,4.315,0.097,3.573,1.24,4.813,3.428,0.896,4.323,3.498,0.721,4.219,3.626,0.566,4.192,1997,3.498,0.721,4.219
1996,1996-97,57,Doug Christie,atomic_denominator,7669.5,6551.4,1.268,1.464,2.6,1.013,3.613,1.83,1.052,2.882,1.634,1.061,2.695,1.516,1.089,2.605,1997,1.634,1.061,2.695
1996,1996-97,61,Carl Herrera,atomic_denominator,4595.9,3977.0,-2.179,0.387,-4.374,2.71,-1.664,-3.702,1.712,-1.99,-3.384,1.306,-2.078,-3.093,0.987,-2.106,1997,-3.384,1.306,-2.078
1996,1996-97,63,Michael Smith,atomic_denominator,5933.6,5064.3,-0.462,1.783,-0.52,1.32,0.8,-0.298,1.444,1.146,-0.289,1.583,1.294,-0.315,1.699,1.384,1997,-0.289,1.583,1.294
1996,1996-97,64,Sam Perkins,atomic_denominator,5313.1,5028.6,2.532,0.805,-0.733,1.82,1.087,0.432,1.552,1.984,0.972,1.4,2.372,1.446,1.239,2.684,1997,0.972,1.4,2.372
1996,1996-97,65,Greg Minor,atomic_denominator,1351.9,1099.1,-0.44,-0.479,-1.588,2.494,0.906,-1.223,1.19,-0.033,-0.972,0.556,-0.416,-0.759,0.071,-0.688,1997,-0.972,0.556,-0.416
1996,1996-97,67,Tom Hammonds,atomic_denominator,4098.3,3520.4,-1.315,-0.043,0.077,-2.078,-2.001,-0.156,-1.633,-1.789,-0.449,-1.279,-1.727,-0.736,-0.922,-1.658,1997,-0.449,-1.279,-1.727
1996,1996-97,70,Steve Kerr,atomic_denominator,5547.3,5369.8,1.98,-0.241,2.072,1.27,3.342,1.94,0.562,2.503,1.957,0.275,2.232,1.954,0.097,2.051,1997,1.957,0.275,2.232
1996,1996-97,71,Pooh Richardson,atomic_denominator,2633.5,2193.4,0.491,0.064,1.727,0.098,1.825,0.418,0.475,0.893,0.337,0.331,0.669,0.381,0.18,0.561,1997,0.337,0.331,0.669
1996,1996-97,72,Kenny Anderson,atomic_denominator,6767.1,6022.8,3.652,0.167,6.693,-1.215,5.478,4.887,0.009,4.896,4.391,0.276,4.668,4.086,0.374,4.46,1997,4.391,0.276,4.668
1996,1996-97,73,Hot Rod Williams,atomic_denominator,5325.0,4784.8,0.11,2.155,-4.498,5.786,1.287,-2.001,3.604,1.602,-1.052,2.823,1.77,-0.445,2.36,1.914,1997,-1.052,2.823,1.77
1996,1996-97,76,Cedric Ceballos,atomic_denominator,3504.8,3160.7,0.665,-0.659,2.596,-0.687,1.91,1.629,-0.827,0.801,1.27,-0.844,0.426,1.032,-0.839,0.192,1997,1.27,-0.844,0.426
1996,1996-97,77,Doug Overton,atomic_denominator,1593.5,1373.7,0.499,-0.332,1.957,-0.682,1.276,0.803,-0.233,0.571,0.679,-0.296,0.383,0.638,-0.383,0.255,1997,0.679,-0.296,0.383
1996,1996-97,78,LaSalle Thompson,atomic_denominator,228.5,191.0,-2.324,1.312,-1.096,-1.004,-2.099,-1.856,0.484,-1.372,-2.067,0.831,-1.236,-2.191,1.022,-1.169,1997,-2.067,0.831,-1.236
1996,1996-97,80,Ken Norman,atomic_denominator,552.7,443.3,-0.563,0.159,-2.091,-1.479,-3.571,-1.038,-0.541,-1.579,-0.821,-0.265,-1.086,-0.708,-0.102,-0.81,1997,-0.821,-0.265,-1.086
1996,1996-97,81,Jeff Grayer,atomic_denominator,760.6,662.4,-0.688,0.313,-0.545,1.26,0.715,-0.521,0.527,0.006,-0.558,0.361,-0.197,-0.602,0.287,-0.314,1997,-0.558,0.361,-0.197
1996,1996-97,82,Bill Wennington,atomic_denominator,2200.7,1856.1,-0.982,0.521,-3.4,-1.736,-5.135,-2.122,-0.707,-2.829,-1.683,-0.263,-1.946,-1.394,0.065,-1.329,1997,-1.683,-0.263,-1.946
1996,1996-97,84,Latrell Sprewell,atomic_denominator,8091.0,6874.4,2.833,-0.495,3.498,0.268,3.766,3.442,-0.537,2.904,3.378,-0.803,2.574,3.284,-0.913,2.371,1997,3.378,-0.803,2.574
1996,1996-97,85,Brent Price,atomic_denominator,1145.5,1000.5,0.828,-0.406,5.405,-4.439,0.966,2.719,-2.08,0.64,1.905,-1.417,0.488,1.402,-1.006,0.396,1997,1.905,-1.417,0.488
1996,1996-97,87,Dikembe Mutombo,atomic_denominator,7731.1,7248.0,0.389,3.602,-7.65,11.854,4.204,-4.613,8.411,3.798,-3.278,6.995,3.717,-2.224,5.924,3.701,1997,-3.278,6.995,3.717
1996,1996-97,88,Steve Scheffler,atomic_denominator,67.4,56.9,-0.491,0.589,-0.81,-0.099,-0.91,-0.517,0.267,-0.249,-0.493,0.369,-0.124,-0.491,0.431,-0.061,1997,-0.493,0.369,-0.124
1996,1996-97,89,Nick Van Exel,atomic_denominator,8165.0,7544.4,3.008,-1.73,5.556,-3.437,2.119,3.81,-2.485,1.325,3.401,-2.181,1.22,3.182,-1.983,1.199,1997,3.401,-2.181,1.22
1996,1996-97,93,Hubert Davis,atomic_denominator,1550.1,1261.8,-0.0,-0.7,1.781,-2.985,-1.203,0.793,-2.065,-1.272,0.471,-1.628,-1.157,0.267,-1.295,-1.028,1997,0.471,-1.628,-1.157
1996,1996-97,95,Mark Bryant,atomic_denominator,2713.9,2376.5,-0.118,0.381,-3.323,3.05,-0.273,-1.645,1.612,-0.034,-1.024,1.065,0.041,-0.609,0.699,0.09,1997,-1.024,1.065,0.041
1996,1996-97,96,Detlef Schrempf,atomic_denominator,6278.5,5954.1,2.804,0.599,3.67,1.829,5.499,2.989,1.29,4.279,2.751,1.08,3.831,2.628,0.92,3.547,1997,2.751,1.08,3.831
1996,1996-97,98,Nick Anderson,atomic_denominator,5371.0,4826.3,1.734,0.877,1.919,0.546,2.466,1.435,0.937,2.372,1.361,1.01,2.371,1.352,1.014,2.366,1997,1.361,1.01,2.371
1996,1996-97,100,Tim Legler,atomic_denominator,450.5,439.2,-0.61,0.255,-0.622,-0.608,-1.23,-0.571,-0.12,-0.691,-0.562,0.001,-0.561,-0.57,0.073,-0.497,1997,-0.562,0.001,-0.561
1996,1996-97,103,Todd Day,atomic_denominator,5626.2,4853.5,1.317,0.212,3.62,-2.435,1.185,3.086,-2.052,1.034,2.712,-1.715,0.997,2.322,-1.306,1.016,1997,2.712,-1.715,0.997
1996,1996-97,104,Benoit Benjamin,atomic_denominator,107.9,83.0,0.0,-0.0,-0.37,-0.163,-0.533,-0.106,-0.11,-0.215,-0.06,-0.097,-0.158,-0.036,-0.091,-0.127,1997,-0.06,-0.097,-0.158
1996,1996-97,105,Dan Majerle,atomic_denominator,3278.2,3439.2,1.872,0.483,0.983,-0.64,0.343,1.042,0.165,1.207,1.142,0.494,1.635,1.283,0.67,1.953,1997,1.142,0.494,1.635
1996,1996-97,107,Dale Ellis,atomic_denominator,6852.0,5842.9,1.722,-1.188,-0.139,-2.175,-2.314,0.712,-2.176,-1.464,1.14,-2.048,-0.908,1.451,-1.87,-0.419,1997,1.14,-2.048,-0.908
1996,1996-97,109,Robert Horry,atomic_denominator,4389.2,4233.4,0.633,1.932,2.872,1.898,4.77,2.187,1.748,3.935,1.773,1.724,3.497,1.389,1.74,3.129,1997,1.773,1.724,3.497
1996,1996-97,111,LaPhonso Ellis,atomic_denominator,4614.1,3979.5,1.195,-0.952,2.073,-2.822,-0.749,2.066,-2.296,-0.23,1.893,-1.96,-0.068,1.69,-1.656,0.034,1997,1.893,-1.96,-0.068
1996,1996-97,112,Dontonio Wingfield,atomic_denominator,1190.9,1025.6,-0.337,-0.126,-2.064,-1.194,-3.257,-0.838,-0.833,-1.671,-0.554,-0.608,-1.163,-0.424,-0.436,-0.86,1997,-0.554,-0.608,-1.163
1996,1996-97,116,David Wood,atomic_denominator,582.2,486.5,-0.179,1.072,3.089,-0.652,2.437,1.195,0.223,1.418,0.613,0.53,1.144,0.251,0.732,0.983,1997,0.613,0.53,1.144
1996,1996-97,120,Steven Smith,atomic_denominator,7410.4,7069.3,3.163,-0.966,2.06,-2.547,-0.486,1.703,-1.172,0.53,1.763,-0.712,1.052,1.9,-0.46,1.44,1997,1.763,-0.712,1.052
1996,1996-97,121,Patrick Ewing,atomic_denominator,7470.4,6944.1,0.552,1.809,1.035,3.242,4.278,1.279,2.55,3.829,1.103,2.44,3.542,0.883,2.379,3.263,1997,1.103,2.44,3.542
1996,1996-97,122,Fred Roberts,atomic_denominator,99.7,78.6,0.109,0.679,1.193,-1.171,0.022,0.432,0.103,0.536,0.272,0.342,0.614,0.185,0.466,0.651,1997,0.272,0.342,0.614
1996,1996-97,123,Robert Pack,atomic_denominator,4320.5,3662.1,0.555,-0.051,1.971,-2.078,-0.107,1.15,-1.286,-0.136,0.921,-0.908,0.013,0.764,-0.595,0.168,1997,0.921,-0.908,0.013
1996,1996-97,124,Vlade Divac,atomic_denominator,7781.6,6894.2,0.666,2.736,0.134,5.446,5.581,0.142,4.43,4.572,0.01,3.991,4.001,-0.054,3.652,3.598,1997,0.01,3.991,4.001
1996,1996-97,129,Dino Radja,atomic_denominator,2140.5,1701.5,-2.193,0.994,-4.905,2.35,-2.556,-3.732,2.224,-1.508,-3.195,1.855,-1.341,-2.78,1.472,-1.308,1997,-3.195,1.855,-1.341
1996,1996-97,133,David Wesley,atomic_denominator,8051.7,6986.7,2.069,0.087,3.194,0.927,4.121,2.615,-0.086,2.53,2.492,-0.423,2.069,2.403,-0.574,1.828,1997,2.492,-0.423,2.069
1996,1996-97,134,Kevin Johnson,atomic_denominator,6756.7,6200.2,4.991,0.135,7.424,-4.18,3.244,6.095,-2.135,3.96,5.72,-1.4,4.32,5.483,-0.888,4.596,1997,5.72,-1.4,4.32
1996,1996-97,136,P.J. Brown,atomic_denominator,6856.5,6565.6,-0.943,1.752,-3.609,4.517,0.908,-2.551,3.862,1.311,-2.144,3.508,1.363,-1.854,3.164,1.31,1997,-2.144,3.508,1.363
1996,1996-97,137,Vernon Maxwell,atomic_denominator,5020.3,4237.2,0.965,-0.557,2.29,0.218,2.507,0.926,-0.076,0.851,0.57,-0.2,0.37,0.468,-0.311,0.157,1997,0.57,-0.2,0.37
1996,1996-97,140,Donald Royal,atomic_denominator,2105.1,1810.4,-0.788,0.736,-2.44,-0.867,-3.307,-1.534,-0.452,-1.985,-1.192,-0.152,-1.344,-0.987,0.127,-0.86,1997,-1.192,-0.152,-1.344
1996,1996-97,143,Terry Dehere,atomic_denominator,2554.0,2156.4,1.077,-0.628,-0.045,-1.659,-1.704,0.01,-0.747,-0.736,0.398,-0.672,-0.274,0.71,-0.679,0.032,1997,0.398,-0.672,-0.274
1996,1996-97,145,Tracy Murray,atomic_denominator,4474.5,3956.7,1.741,-0.262,2.888,0.115,3.003,2.563,-0.404,2.159,2.333,-0.42,1.913,2.136,-0.387,1.749,1997,2.333,-0.42,1.913
1996,1996-97,146,Jud Buechler,atomic_denominator,1890.8,1882.0,-0.32,0.544,2.133,-1.422,0.711,0.885,-0.853,0.032,0.435,-0.474,-0.04,0.119,-0.125,-0.006,1997,0.435,-0.474,-0.04
1996,1996-97,147,Jalen Rose,atomic_denominator,3663.3,3236.4,0.808,0.809,1.713,-0.707,1.005,1.208,0.131,1.339,1.057,0.46,1.516,0.941,0.668,1.609,1997,1.057,0.46,1.516
1996,1996-97,154,Adrian Caldwell,atomic_denominator,1385.7,1184.4,-1.736,0.959,-3.501,2.252,-1.249,-1.537,0.747,-0.79,-1.298,0.535,-0.763,-1.331,0.54,-0.79,1997,-1.298,0.535,-0.763
1996,1996-97,156,Antoine Carr,atomic_denominator,4274.1,4139.9,-1.367,0.522,-1.303,2.2,0.897,-1.33,1.371,0.041,-1.403,1.028,-0.375,-1.464,0.795,-0.669,1997,-1.403,1.028,-0.375
1996,1996-97,157,Derek Harper,atomic_denominator,5464.1,4689.0,1.224,0.128,1.9,-0.966,0.933,1.041,-0.281,0.76,0.869,-0.053,0.817,0.826,0.083,0.908,1997,0.869,-0.053,0.817
1996,1996-97,164,Chris Childs,atomic_denominator,5777.9,5548.7,-0.339,0.203,2.215,0.385,2.6,0.546,1.129,1.676,0.035,1.194,1.229,-0.255,1.087,0.831,1997,0.035,1.194,1.229
1996,1996-97,165,Hakeem Olajuwon,atomic_denominator,7462.9,7326.5,0.842,2.185,-2.182,5.565,3.383,-0.679,3.48,2.802,-0.218,2.901,2.683,0.095,2.558,2.653,1997,-0.218,2.901,2.683
1996,1996-97,166,Ron Harper,atomic_denominator,5662.9,5795.0,1.006,1.516,-0.483,2.905,2.422,-0.193,2.526,2.332,0.079,2.385,2.464,0.319,2.253,2.572,1997,0.079,2.385,2.464
1996,1996-97,168,Chris Mills,atomic_denominator,8224.7,7082.4,0.556,0.156,0.307,3.391,3.698,-0.404,2.938,2.534,-0.627,2.62,1.993,-0.669,2.241,1.572,1997,-0.627,2.62,1.993
1996,1996-97,170,Joe Kleine,atomic_denominator,2096.4,1796.2,-1.952,1.15,-6.691,1.968,-4.723,-3.612,0.876,-2.736,-2.698,0.74,-1.958,-2.226,0.766,-1.46,1997,-2.698,0.74,-1.958
1996,1996-97,173,Keith Askins,atomic_denominator,4482.3,4057.4,-0.414,0.736,-0.317,0.816,0.499,-0.461,1.033,0.572,-0.537,1.116,0.579,-0.595,1.145,0.55,1997,-0.537,1.116,0.579
1996,1996-97,175,Alton Lister,atomic_denominator,1315.5,1156.4,-1.591,1.477,-3.789,3.321,-0.467,-2.595,2.031,-0.564,-2.142,1.636,-0.505,-1.86,1.433,-0.427,1997,-2.142,1.636,-0.505
1996,1996-97,176,Antonio Harvey,atomic_denominator,66.3,52.5,0.24,1.013,0.619,-0.74,-0.121,0.41,0.43,0.841,0.34,0.665,1.004,0.293,0.791,1.084,1997,0.34,0.665,1.004
1996,1996-97,177,Muggsy Bogues,atomic_denominator,4645.9,4073.2,1.961,1.162,3.237,3.156,6.393,2.021,2.435,4.455,1.737,2.107,3.845,1.613,1.828,3.441,1997,1.737,2.107,3.845
1996,1996-97,178,Olden Polynice,atomic_denominator,6850.7,5819.7,-1.207,0.237,-4.188,2.194,-1.994,-2.599,1.547,-1.052,-2.029,1.197,-0.832,-1.651,0.892,-0.759,1997,-2.029,1.197,-0.832
1996,1996-97,179,Bryant Stith,atomic_denominator,4140.1,3417.5,1.165,-0.283,2.353,0.173,2.526,1.848,0.099,1.947,1.641,-0.037,1.604,1.479,-0.183,1.296,1997,1.641,-0.037,1.604
1996,1996-97,180,John Crotty,atomic_denominator,1595.6,1605.2,1.241,0.19,0.035,-1.395,-1.36,0.103,-0.809,-0.706,0.363,-0.442,-0.079,0.64,-0.163,0.477,1997,0.363,-0.442,-0.079
1996,1996-97,181,Kenny Smith,atomic_denominator,1664.6,1470.0,0.986,-1.295,1.033,-4.205,-3.171,0.833,-3.195,-2.361,0.889,-2.644,-1.756,0.939,-2.181,-1.241,1997,0.889,-2.644,-1.756
1996,1996-97,182,Billy Owens,atomic_denominator,4723.2,4001.1,-0.333,-0.137,1.132,1.666,2.798,0.488,1.167,1.655,0.183,0.823,1.006,-0.033,0.496,0.463,1997,0.183,0.823,1.006
1996,1996-97,183,Bison Dele,atomic_denominator,344.9,842.4,-0.445,0.57,-2.649,1.591,-1.058,-1.226,1.052,-0.174,-0.865,0.831,-0.034,-0.677,0.694,0.017,1997,-0.865,0.831,-0.034
1996,1996-97,184,Bobby Phills,atomic_denominator,6501.1,5571.4,0.467,0.413,-0.304,1.832,1.528,-1.078,2.627,1.548,-1.081,2.547,1.466,-0.915,2.24,1.325,1997,-1.081,2.547,1.466
1996,1996-97,185,Chris Webber,atomic_denominator,6946.3,6053.0,1.877,1.758,3.587,2.152,5.738,3.014,1.647,4.661,2.701,1.576,4.277,2.439,1.585,4.023,1997,2.701,1.576,4.277
1996,1996-97,187,Terry Cummings,atomic_denominator,2361.6,2543.5,-0.122,0.671,-2.549,2.933,0.384,-1.374,1.913,0.54,-0.965,1.482,0.517,-0.677,1.163,0.486,1997,-0.965,1.482,0.517
1996,1996-97,190,Duane Causwell,atomic_denominator,1317.0,1071.7,-2.501,2.366,-3.125,1.446,-1.678,-2.556,1.748,-0.808,-2.48,1.944,-0.536,-2.47,2.095,-0.375,1997,-2.48,1.944,-0.536
1996,1996-97,192,Dennis Scott,atomic_denominator,5520.9,4941.7,1.411,-0.338,1.423,0.568,1.991,1.108,0.433,1.542,1.029,0.275,1.304,1.003,0.106,1.11,1997,1.029,0.275,1.304
1996,1996-97,193,Anthony Mason,atomic_denominator,8635.3,7577.2,2.148,1.015,-3.671,2.097,-1.574,-1.292,2.049,0.757,-0.353,1.953,1.6,0.351,1.805,2.156,1997,-0.353,1.953,1.6
1996,1996-97,194,Anthony Bowie,atomic_denominator,52.2,49.6,0.0,-0.0,0.77,-2.087,-1.316,0.152,-0.591,-0.439,0.06,-0.331,-0.271,0.019,-0.203,-0.184,1997,0.06,-0.331,-0.271
1996,1996-97,195,Lee Mayberry,atomic_denominator,4856.9,4126.0,0.201,-0.403,-0.812,0.023,-0.789,-0.753,-0.438,-1.191,-0.576,-0.531,-1.108,-0.374,-0.558,-0.932,1997,-0.576,-0.531,-1.108
1996,1996-97,197,Scott Burrell,atomic_denominator,2870.3,2517.4,-0.416,0.255,-0.978,1.87,0.892,-0.795,1.273,0.478,-0.676,0.925,0.249,-0.586,0.64,0.054,1997,-0.676,0.925,0.249
1996,1996-97,198,Danny Ferry,atomic_denominator,6514.2,5603.4,0.444,0.23,-0.747,3.216,2.469,-0.335,2.013,1.677,-0.383,1.764,1.381,-0.415,1.576,1.161,1997,-0.383,1.764,1.381
1996,1996-97,199,Reggie Williams,atomic_denominator,476.3,373.0,-0.13,0.523,1.439,-2.225,-0.786,0.337,-0.525,-0.188,0.107,-0.09,0.016,-0.013,0.157,0.144,1997,0.107,-0.09,0.016
1996,1996-97,201,Chris Dudley,atomic_denominator,4264.8,3743.3,-1.776,2.539,-5.722,5.777,0.055,-4.016,3.867,-0.149,-3.243,3.274,0.03,-2.651,2.931,0.279,1997,-3.243,3.274,0.03
1996,1996-97,202,Gary Grant,atomic_denominator,951.7,762.2,0.392,0.358,0.221,2.373,2.594,0.032,1.261,1.293,0.112,0.889,1.001,0.202,0.645,0.847,1997,0.112,0.889,1.001
1996,1996-97,203,Nate McMillan,atomic_denominator,2192.5,2018.8,1.356,2.392,0.681,3.625,4.306,0.443,3.215,3.658,0.584,2.976,3.559,0.792,2.76,3.552,1997,0.584,2.976,3.559
1996,1996-97,204,Jeff Hornacek,atomic_denominator,7938.5,8019.2,3.137,0.673,3.909,1.039,4.948,3.156,0.896,4.052,2.98,0.825,3.804,2.896,0.783,3.678,1997,2.98,0.825,3.804
1996,1996-97,208,Sam Cassell,atomic_denominator,4283.7,3669.0,2.422,-0.397,5.027,-1.179,3.848,3.383,-0.465,2.918,2.934,-0.405,2.53,2.696,-0.448,2.248,1997,2.934,-0.405,2.53
1996,1996-97,209,Dell Curry,atomic_denominator,5472.3,4684.0,0.813,-0.977,0.495,-0.204,0.291,-0.089,-0.209,-0.298,-0.111,-0.273,-0.384,-0.007,-0.4,-0.408,1997,-0.111,-0.273,-0.384
1996,1996-97,210,Terrell Brandon,atomic_denominator,7029.2,5993.0,2.846,-0.287,3.63,-2.061,1.568,2.314,0.064,2.378,2.002,0.618,2.621,1.898,0.824,2.722,1997,2.002,0.618,2.621
1996,1996-97,211,Eric Mobley,atomic_denominator,742.4,589.8,-2.158,0.632,-3.193,-1.792,-4.986,-2.696,-0.258,-2.955,-2.507,0.129,-2.378,-2.375,0.336,-2.039,1997,-2.507,0.129,-2.378
1996,1996-97,212,Yinka Dare,atomic_denominator,751.5,631.4,-2.673,1.481,-1.801,1.827,0.025,-1.912,1.259,-0.653,-2.141,1.232,-0.909,-2.34,1.267,-1.074,1997,-2.141,1.232,-0.909
1996,1996-97,213,Antonio Davis,atomic_denominator,6845.8,5977.5,-1.149,1.036,-0.995,4.67,3.675,-0.591,3.187,2.596,-0.696,2.561,1.866,-0.884,2.085,1.201,1997,-0.696,2.561,1.866
1996,1996-97,216,Brian Shaw,atomic_denominator,4639.5,4039.8,-0.079,0.155,-0.798,-4.057,-4.855,-1.413,-2.198,-3.61,-1.312,-1.341,-2.653,-1.063,-0.7,-1.762,1997,-1.312,-1.341,-2.653
1996,1996-97,219,Vinny Del Negro,atomic_denominator,6150.0,5379.1,1.661,-0.51,4.571,-1.056,3.515,2.791,-0.794,1.997,2.127,-0.643,1.484,1.71,-0.527,1.183,1997,2.127,-0.643,1.484
1996,1996-97,221,Clar. Weatherspoon,atomic_denominator,7345.2,6271.5,-0.103,0.52,-3.995,2.489,-1.506,-1.773,1.048,-0.725,-0.833,0.428,-0.405,-0.214,0.05,-0.164,1997,-0.833,0.428,-0.405
1996,1996-97,223,Bill Curley,atomic_denominator,17.4,16.4,0.0,-0.0,-0.149,-0.159,-0.308,-0.065,-0.077,-0.142,-0.043,-0.074,-0.117,-0.03,-0.075,-0.105,1997,-0.043,-0.074,-0.117
